X,Y,OBJECTID,SITE_ID,PI_NAME,ADDRESS,PI_NUMBER,LEAD,STATUS,REM_LEVEL,CEA_STATUS,CATEGORY,COUNTY
508173.9999,604964.9999,9928,600228,FORMER WOLFSON DECK,150 NEILSON ST,772343,LSRP,Active,C2,Ongoing,1,Middlesex
367220,374598,9929,600261,VACANT LOT @ 710 CENTENNIAL BOULEVARD,710 CENTENNIAL BLVD,754403,LSRP,Active,C2,Ongoing,1,Camden
614797.9999,692188,9930,600447,600 NEWARK AVENUE,600 NEWARK AVE,754653,LSRP,Active,C2,,1,Hudson
494289.0001,213042,9931,600465,ART MERRILL MARINE FORMER,408 ABSECON BLVD,754673,LSRP,Active,C2,,1,Atlantic
609347,739018.9999,9932,600501,240 JEFFERSON AVENUE,240 JEFFERSON AVE,754718,UHOT,Active,C2,,0,Bergen
623835.9999,571877.9998,9933,600622,NAVESINK CENTER,SEARS AVE & RT 36,754872,RAP,Active - RAP,,,0,Monmouth
614418,553814.9999,9934,600650,THE RUE FAMILY PARTNERSHIP PROPERTIES,94 96 98 102 E FRONT ST,754906,LSRP,Active,C2,,1,Monmouth
629324.0001,561017.9999,9935,600846,84 BINGHAM AVENUE,84 BINGHAM AVE,755161,UHOT,Active,C2,,0,Monmouth
468660.9999,550405.0001,9936,600847,BLACK ROCK GUN CLUB,33 SCHALKS CROSSING RD,755162,LSRP,Active,D,Ongoing,1,Middlesex
582461.9999,687284,9937,600899,MURRAY ST & GOBLE ST GW CONTAMINATION,MURRAY ST & GOBLE ST,755229,PUB FUNDED,Active,C3,,2,Essex
515023,600374.9999,9938,600960,HARBOR PIPELINE,RT 1 & RT 18,755306,LSRP,Active,C2,,1,Middlesex
596474.0001,666193.9999,9939,601061,415 423 AVENUE C,415 423 AVENUE C,755429,RAP,Active - RAP,,,0,Hudson
578828,702326.0001,9940,601192,332 NORTH 7TH STREET,332 N 7TH ST,755599,UHOT,Active,C1,,0,Essex
620454.0001,753122.9999,9941,601254,QUICKCHEK CORPORATION #168,156 HACKENSACK AVE,755684,LSRP,Active,C2,,1,Bergen
